mmsiNumber,Vessel_Name,Vessel_Type,Vessel_Category
219017752,MERZEDEZ,DIVE,OTHER
219002392,AMANDA,Cargo,CARGO
538005550,LOKHOLMEN,Chemical/Oil Tanker,TANKER
259017000,HAGLAND CAPTAIN,Cargo,CARGO
244678000,THUN GARLAND,Chemical/Oil Tanker,TANKER
219012581,SBV,Pleasure Craft ,PLEASURE
311855000,CLYDE FISHER,Chemical/Oil Tanker,TANKER
111219516,N/A ,SAR,OTHER
970222139,N/A ,,UNKNOWN
211244230,N/A ,,UNKNOWN
375052000,HONTE,Support Vessel,OTHER
219018827,LILLE BJORN,other,OTHER
357632000,MSC EYRA,Container,CARGO
245137000,CAROLINA,Cargo,CARGO
538003323,AUTUMN,TANKER,TANKER
377739000,,,UNKNOWN
265191000,VASTANVIK ,CEMENT CARRIER,CARGO
211380900,NO LIMIT,Pleasure Craft ,PLEASURE
255714000,PHILIPP ESSBERGER,Chemical/Oil Tanker,TANKER
218816000,BEATE,Container,CARGO
258853000,HEIDI,CARGO,CARGO
212746000,N/A ,,CARGO
219021419,KRIS,Dredger,OTHER
538005740,VESTHOLMEN,Chemical/Oil Tanker,TANKER
215064000,B GAS MARINER,LPG Tanker,TANKER
218576000,N/A ,,CARGO
311878000,N/A ,,CARGO
219000183,MHV 803 ARIES,Military Ops,MILITARY
219016144,BIRK,tug,TUG
220434000,DNK NAVY PATROL P523,Military Ops,MILITARY
219018741,RIB 610-014,SAR,OTHER
219015425,SVITZER THOR,Tug,TUG
236006000,N/A ,,TANKER
249012000,N/A ,,TANKER
636018551,TRANSMERIDIAN,Bulk Carrier,CARGO
304059000,N/A ,,CARGO
209239000,RIX STAR,Cargo,CARGO
258295000,VESTLAND,CARGO,CARGO
266201000,EVINCO,Chemical/Oil Tanker,TANKER
219262000,GUNNAR SEIDENFADEN,Pollution Control Vessel,OTHER
218802000,ALAND,Cargo,CARGO
245573000,N/A ,,TANKER
211595130,LOCAL HERO,Pleasure Craft ,PLEASURE
236213000,WILLY,Chemical/Oil Tanker,TANKER
246355000,MISKA,Cargo,CARGO
219021235,HAVFISKEN,Other,OTHER
970220496,N/A ,,UNKNOWN
246694000,N/A ,,TANKER
219081000,N/A ,,UNKNOWN
209325000,RIX RIVER,Cargo,CARGO
219000176,MHV 912,Military Ops,MILITARY
219019043,PRO 520-024,SAR,OTHER
305123000,N/A ,,CARGO
244246000,HENDRIKA MARGARETHA,Cargo,CARGO
219021428,HG 165 SOUTH OCEAN,Fishing,FISHING
219000187,MHV 807 JUPITER,Military Ops,MILITARY
219019287,N/A ,,FISHING
377664000,N/A ,,CARGO
212947000,N/A ,,UNKNOWN
219007893,PEPTO BISMOL 2,Pleasure Craft ,PLEASURE
244020098,HD66 PIETER,Fishing,FISHING
219252000,ATLANTIC,TANKER,TANKER
255806119,RIX MUNTE,Cargo,CARGO
219000553,MHV 817 PARTISAN,Military Ops,MILITARY
258673000,N/A ,,CARGO
248494000,N/A ,,CARGO
257039490,KNARRLAGSUND,Cargo,CARGO
245029000,WESTEWIND,Cargo,CARGO
244557000,EIKBORG,Cargo,CARGO
244140578,ARKLOW VENUS,Cargo,CARGO
219005747,DANPILOT UNA,PILOT,PILOT
219018583,BO-BO,Pleasure Craft ,PLEASURE
244615569,BUBBLEGUM,unknown,UNKNOWN
