event,total_clicks,buzz_calls,buzz_rate,Exposure_3k,Exposure_500m,first_time,last_time
1534,110,11,0.1,0,0,2021-03-30 21:46:00,2021-03-30 22:11:00
1535,4221,208,0.049277422,1,1,2021-03-30 22:52:00,2021-03-31 04:16:00
1536,370,12,0.032432432,1,1,2021-03-31 14:11:00,2021-03-31 15:29:00
1537,1731,539,0.311380705,1,1,2021-03-31 18:51:00,2021-03-31 20:38:00
1538,15,8,0.533333333,0,0,2021-03-31 21:13:00,2021-03-31 21:15:00
1539,3206,570,0.177791641,0,0,2021-03-31 21:38:00,2021-04-01 00:41:00
1540,1183,187,0.158072697,0,0,2021-04-01 01:31:00,2021-04-01 03:01:00
1541,522,67,0.12835249,1,1,2021-04-01 03:37:00,2021-04-01 04:27:00
1542,211,12,0.056872038,0,0,2021-04-01 15:50:00,2021-04-01 16:26:00
1543,588,80,0.136054422,1,1,2021-04-01 17:59:00,2021-04-01 18:35:00
1544,3203,721,0.225101467,0,0,2021-04-01 18:52:00,2021-04-01 20:52:00
1545,5288,1370,0.259077156,1,1,2021-04-01 21:25:00,2021-04-02 01:44:00
1546,266,9,0.033834586,0,0,2021-04-02 02:02:00,2021-04-02 03:02:00
1547,275,19,0.069090909,0,0,2021-04-02 03:14:00,2021-04-02 03:40:00
1548,99,8,0.080808081,1,1,2021-04-02 12:48:00,2021-04-02 13:08:00
1549,842,33,0.039192399,1,1,2021-04-02 19:35:00,2021-04-02 20:54:00
1550,1591,203,0.127592709,0,0,2021-04-02 21:06:00,2021-04-02 23:50:00
1551,895,31,0.034636872,0,0,2021-04-03 00:03:00,2021-04-03 03:27:00
1552,175,14,0.08,1,0,2021-04-03 16:27:00,2021-04-03 16:44:00
1553,965,56,0.058031088,1,1,2021-04-03 17:52:00,2021-04-03 18:48:00
1554,601,14,0.023294509,1,1,2021-04-03 19:07:00,2021-04-03 19:28:00
1555,1173,74,0.063086104,1,1,2021-04-03 20:51:00,2021-04-03 22:50:00
1556,1813,239,0.131825703,1,0,2021-04-03 23:15:00,2021-04-04 02:10:00
1557,463,32,0.069114471,1,1,2021-04-04 02:39:00,2021-04-04 03:43:00
1558,461,41,0.088937093,1,0,2021-04-04 03:57:00,2021-04-04 04:33:00
1559,106,32,0.301886792,0,0,2021-04-04 12:53:00,2021-04-04 13:00:00
1560,223,8,0.035874439,0,0,2021-04-04 14:49:00,2021-04-04 15:15:00
1561,390,19,0.048717949,0,0,2021-04-04 16:58:00,2021-04-04 18:14:00
1562,4582,707,0.154299433,0,0,2021-04-04 18:55:00,2021-04-04 21:37:00
1563,898,86,0.095768374,0,0,2021-04-04 21:53:00,2021-04-04 23:46:00
1564,151,7,0.046357616,0,0,2021-04-05 01:26:00,2021-04-05 01:34:00
1565,98,11,0.112244898,0,0,2021-04-06 00:33:00,2021-04-06 00:47:00
1566,123,16,0.130081301,1,0,2021-04-07 16:59:00,2021-04-07 17:09:00
1567,116,24,0.206896552,0,0,2021-04-07 18:28:00,2021-04-07 18:55:00
1568,144,7,0.048611111,1,0,2021-04-08 19:01:00,2021-04-08 19:49:00
1569,380,22,0.057894737,1,1,2021-04-08 20:08:00,2021-04-08 21:27:00
1570,1267,68,0.053670087,1,1,2021-04-08 21:39:00,2021-04-08 23:00:00
1571,4697,579,0.123270172,0,0,2021-04-08 23:17:00,2021-04-09 01:24:00
1572,2537,190,0.074891604,0,0,2021-04-09 01:47:00,2021-04-09 03:38:00
1573,68,7,0.102941176,0,0,2021-04-09 15:44:00,2021-04-09 15:58:00
1574,9008,1202,0.133436945,1,1,2021-04-09 17:45:00,2021-04-09 20:42:00
1575,699,322,0.460658083,1,0,2021-04-09 21:31:00,2021-04-09 21:48:00
1576,543,126,0.232044199,0,0,2021-04-09 22:29:00,2021-04-09 22:37:00
1577,291,25,0.085910653,0,0,2021-04-09 23:02:00,2021-04-09 23:27:00
1578,308,77,0.25,0,0,2021-04-10 01:06:00,2021-04-10 01:23:00
1579,323,24,0.074303406,0,0,2021-04-10 02:11:00,2021-04-10 02:21:00
1580,152,10,0.065789474,0,0,2021-04-10 19:30:00,2021-04-10 19:37:00
1581,2811,233,0.082888652,0,0,2021-04-10 20:51:00,2021-04-10 23:20:00
1582,3555,307,0.086357243,0,0,2021-04-11 01:07:00,2021-04-11 02:26:00
1583,485,7,0.01443299,0,0,2021-04-11 03:22:00,2021-04-11 04:27:00
1584,185,16,0.086486486,0,0,2021-04-11 17:56:00,2021-04-11 18:00:00
1585,1142,232,0.203152364,0,0,2021-04-11 18:44:00,2021-04-11 19:18:00
1586,507,28,0.055226824,0,0,2021-04-11 19:36:00,2021-04-11 19:55:00
1587,1255,22,0.01752988,1,1,2021-04-11 20:40:00,2021-04-11 22:22:00
1588,2009,105,0.052264808,1,1,2021-04-11 22:33:00,2021-04-12 01:16:00
